longitude,latitude,name,address,city,state,zip,phone
-80.326046,25.770176,MIDWAY,7993 W Flagler St,Miami,FL,33144,(305) 265-0177
-80.349437,25.702003,SUNSET,9681 Sw 72nd St,Miami,FL,33173,(305) 598-4933
-80.336198,25.636053,KING'S BAY,14401 S Dixie Hwy,Miami,FL,33176,(305) 964-5318
-80.271915,25.822662,HIALEAH-HIALEAH,460 Hialeah Dr,Hialeah,FL,33010,(305) 884-8700
-80.261126,25.831946,FLAMINGO,1021 E 10th Ave,Hialeah,FL,33010,(305) 888-5491
-80.332566,25.783395,TRADEWINDS,8403 Nw 12th St,Doral,FL,33126,(305) 477-3163
-80.185108,25.849872,8116 BISCAYNE,8116 Biscayne Blvd,Miami,FL,33138,(305) 756-0400
-80.242229,25.8476,MIAMI/BOX 470097,8050 Nw 27th Ave,Miami,FL,33147,(305) 836-4792
-80.354963,25.761217,FIU,9850 Sw 8th St,Miami,FL,33174,(305) 223-8687
-80.31739,25.809995,MIAMI-36TH/PALM,7405 Nw 36th St,Miami,FL,33166,(305) 593-0376
-80.336426,25.796169,87TH AVE. & 25TH,2405 Nw 87th Ave,Doral,FL,33172,(305) 468-1822
-80.210077,25.859774,NW 7TH AVE,9250 Nw 7th Ave,Miami,FL,33150,(305) 759-1042
-80.378134,25.732613,MIAMI-BIRD RD,11301 Sw 40th St,Miami,FL,33165,(305) 223-0179
-80.366668,25.768213,SWEETWATER,10530 W Flagler St,Sweetwater,FL,33174-1631,(305) 552-8401
-80.382764,25.685984,SUMMIT,11500 N Kendall Dr,Miami,FL,33176,(305) 595-2347
-80.288598,25.847729,HIALEAH-PARK,330 W 29th St,Hialeah,FL,33012-5708,(305) 888-3497
-80.326091,25.825438,MIAMI-57/79,5700 Nw 79th Ave,Doral,FL,33166,(305) 599-2660
-80.352328,25.600886,PERRINE,18295 S Dixie Hwy,Miami,FL,33157,(305) 238-7129
-80.383886,25.65558,SNAPPER CREEK,12198 Sw 117th Ave,Miami,FL,33186,(786) 562-8426
-80.336189,25.578119,OLD CUTLER/FRANJ,20315 Old Cutler Rd,Cutler Bay,FL,33189,(305) 235-5600
-80.376025,25.627942,CORAL REEF,11207 Sw 152nd St,Miami,FL,33157-1101,(305) 255-3594
-80.27502,25.861802,E. 4TH AVE,4300 E 4th Ave,Hialeah,FL,33013,(305) 823-2559
-80.242256,25.872286,27TH AVE,10775 Nw 27th Ave,Miami,FL,33167,(305) 681-5444
-80.351324,25.812111,DORAL,9501 Nw 41st St,Doral,FL,33178,(305) 594-7530
-80.39174,25.744692,WEST CORAL WAY,12185 Sw 26th St,Miami,FL,33175,(305) 229-2005
-80.390492,25.76053,TAMIAMI,11990 Sw 8th St,Miami,FL,33184,(305) 221-8542
-80.209982,25.883409,119TH & 7TH,11899 Nw 7th Ave,Miami,FL,33168,(305) 953-0612
-80.319695,25.852897,OKEE & PALMETTO,3350 W 18th Ave,Hialeah,FL,33012,(305) 825-0104
-80.314373,25.859504,W 16TH AVE,4185 W 16th Ave,Hialeah,FL,33012,(305) 826-3666
-80.186093,25.889932,125TH & 6TH,610 Ne 125th St,North Miami,FL,33161,(305) 899-2882
-80.3052,25.866973,WESTLAND,1101 W 49th St,Hialeah,FL,33012,(305) 821-5521
-80.36734,25.579132,CARIBBEAN,10855 Caribbean Blvd,Cutler Ridge,FL,33157,(305) 254-3487
-80.379254,25.592569,QUAIL ROOST,11575 Quail Roost Road,South Miami Heights,FL,33157,(502) 856-8913
-80.381169,25.811162,MIAMI,11390 Nw 41st St,Doral,FL,33178,(305) 471-6809
-80.162258,25.895759,130TH & BISC,13000 Biscayne Blvd,North Miami,FL,33181,(305) 899-9578
-80.231708,25.897805,OPA LOCKA,1930 Opa Locka Blvd,Miami,FL,33167,(305) 685-8855
-80.291105,25.887343,RED ROAD,7155 W 4th Ave,Hialeah,FL,33014-5373,(305) 557-1190
-80.36989,25.841864,NORTH DORAL,7570 Nw 104th Ave,Doral,FL,33178,(786) 725-5752
-80.316938,25.883691,GRATIGNY,1660 W 68th St,Hialeah,FL,33012,(305) 556-4891
-80.330895,25.876749,WEST HIALEAH,5995 W 24th Ave,Hialeah,FL,33016-4429,(305) 828-2264
-80.212162,25.912657,151 ST.,15096 Nw 7th Ave,Miami,FL,33168,(305) 681-3452
-80.371613,25.550276,SIVLER PALMS,23351 Sw 112th Ave,Homestead,FL,33032,(305) 258-7837
-80.414039,25.598176,EUREKA & 137TH,18340 Sw 137th Ave,Miami,FL,33177,(305) 235-5573
-80.195929,25.927854,MIAMI-200 167TH,200 Ne 167th St,Miami,FL,33162,(305) 940-2092
-80.155511,25.926693,163RD AMOCO,2201 Ne 163rd St,North Miami Beach,FL,33160,(305) 948-9081
-80.319604,25.910885,MIAMI LAKES,7435 Miami Lakes Dr,Miami Lakes,FL,33014,(305) 824-0800
-80.350484,25.896887,HIALEAH GARDENS,3355 W 80th St,Hialeah,FL,33016,(305) 827-0049
-80.245681,25.940175,UNITY,18250 Nw 27th Ave,Carol City,FL,33056-3545,(305) 624-7010
-80.308507,25.925483,LUDLUM ROAD,16701 Nw 67th Ave,Hialeah,FL,33015,(305) 822-6232
-80.163891,25.945026,SKYLAKE,18350 Ne 18th Rd,Miami,FL,33179,(305) 940-0454
-80.27658,25.939415,CAROL CITY,4686 Nw 183rd St,Miami Gardens,FL,33055,(305) 621-2323
-80.294228,25.935346,GARDENS ROAD,17850 Nw 57th Ave,Hialeah,FL,33015,(305) 821-7727
-80.121811,25.940145,SUNNY ISLES,17730 Collins Ave,Sunny Isles Beach,FL,33160,(305) 937-4944
-80.205359,25.958969,US 441,20101 Nw 2nd Ave,Miami,FL,33169,(305) 652-5933
-80.426093,25.519399,NARANJA,26601 S Dixie Hwy,Homestead,FL,33032,(305) 258-0341
-80.340583,25.942678,MIA GDNS,8505 Nw 186th St,Hialeah,FL,33015,(305) 829-5113
-80.247605,25.979326,MIRAMAR II,3306 S University Dr,Miramar,FL,33025-3018,(954) 436-1872
-80.21113,25.984119,MIRAMAR I,6204 Miramar Pkwy,Miramar,FL,33023-3942,(954) 966-6118
-80.160216,25.984582,"HALLANDALE, BEAC",835 W Hallandale Beach Blvd,Hallandale,FL,33009,(954) 457-7415
-80.142841,25.987095,HALLANDALE,111 N Federal Hwy,Hallandale,FL,33009,(954) 456-0451
-80.221631,25.99491,PEMBROKE RD,6700 Pembroke Rd,Pembroke Pines,FL,33023,(954) 654-1063
-80.278405,25.987747,MIRABELLA,2351 Palm Ave,Miramar,FL,33025,(954) 442-6033
-80.336621,25.979212,MIRAMAR PKWY & I,14301 Miramar Pkwy,Miramar,FL,33027,(954) 447-6337
-80.204989,26.010492,HOLLYWOOD-BLVD,5835 Hollywood Blvd,Hollywood,FL,33021,(954) 981-4121
-80.172951,26.011253,HWD&ENTRADA,3247 Hollywood Blvd,Hollywood,FL,33021,(954) 981-8884
-99.011368,26.402285,"ROMA, HWY 83/OLI",104 E Grant Street,Roma,TX,78584,(956) 849-1045
-98.859534,26.371051,RIO GRANDE 83,2577 W Us Hwy 83,Rio Grande City,TX,78582,(956) 646-1359
-98.798329,26.370392,RIO GRANDE/H-83,4290 E Expy 83,Rio Grande City,TX,78582,(956) 487-8214
-98.442757,26.246687,"PENITAS, HWY 83",1703 EXPRESSWAY 83 (Walmart),Penitas,TX,78576,(956) 583-4994
-98.314087,26.288633,ALTON,217 N Alton,Alton,TX,78573,(956) 585-6237
-98.475368,26.248177,"LA JOYA, HWY 83",401 E Expressway 83,La Joya,TX,78560,(956) 580-0339
-98.315599,26.257531,PALMHURST,224 East Mile 3 Road,Palmhurst,TX,78573,(956) 581-0105
-98.324314,26.201453,MISSION-US 83,303 E Expy 83,Mission,TX,78572,(956) 581-1144
-98.289113,26.194476,CHEV-EXP 83-SHAR,804 S Shary Rd,Mission,TX,78572,(956) 583-2790
-98.259821,26.220043,MCALLEN PE,3700 Pecan Boulevard,Mcallen,TX,78502,(956) 630-5711
-98.24648,26.240568,NOLANA @ 29TH,2801 Nolana Ave,Mcallen,TX,78504,(956) 688-6236
-98.218203,26.268868,TENTH/TRENTON,7320 N 10th,Mcallen,TX,78504,(956) 972-1476
-98.225167,26.22921,MCALLEN-10TH ST.,2808 N 10th St,Mcallen,TX,78501,(956) 687-5898
-98.232393,26.186557,MCALLEN-SOUTH 10,1901 S 10th St,Mcallen,TX,78503,(956) 687-7707
-98.18585,26.304312,UNIVERSITY DR.,2120 W University Dr,Edinburg,TX,78539,(956) 316-3333
-98.205812,26.199642,83 AT JACKSON,1217 E Hwy 83,Mcallen,TX,78501,(956) 994-8911
-98.179535,26.233966,PHARR,104 W Nolana Loop,Pharr,TX,78577,(956) 783-2512
-98.168213,26.26189,401 E TRENTON RD,401 E Trenton,Edinburg,TX,78539,(956) 292-0161
-98.157317,26.33685,MONTE CHRISTO,202 W Monte Cristo Rd,Edinburg,TX,78541,(956) 383-0698
-98.189874,26.180673,RIDGE   CA,301 W Ridge Rd,Pharr,TX,78577,(956) 783-6236
-98.146131,26.299655,1605 E  UN,1605 E University Dr,Edinburg,TX,78539,(956) 387-0516
-98.166789,26.191385,83-I SAN JUAN,824 W Business 83,San Juan,TX,78589,(956) 702-5299
-98.148077,26.229672,LONGORIA SANJUAN,3701 N Raul Longoria Rd,San Juan,TX,78589,(956) 855-6960
-98.216356,26.124731,JACKSON @ DICKER,7501 S Jackson Rd,Pharr,TX,78577,(956) 715-8845
-98.121404,26.192024,ALAMO/US 83,1018 Frontage Rd,Alamo,TX,78516,(956) 283-1130
-98.126454,26.171757,ALAMO SOUTH,1119 W Ridge Road,Alamo,TX,78516,(956) 974-1106
-98.040966,26.178912,DONNA,602 N Salinas Blvd,Donna,TX,78537,(956) 461-3388
-97.992807,26.293112,"ELSA, 107 & 88",112 E Edinburg Ave,Elsa,TX,78543,(956) 262-3226
-97.99137,26.172143,WESLACO-TEXAS BL,1025 N Texas,Weslaco,TX,78596-4510,(956) 968-6554
-97.992515,26.14123,WESLACO SOUTH,200 W. 18th St.,Weslaco,TX,78596,(956) 877-3062
-97.958266,26.185155,WESLACO,2510 N. International Blvd.,Weslaco,TX,78599,(956) 855-7947
-97.957381,26.153181,WESLACO,3318 E Bus Hwy 83,Weslaco,TX,78596,(956) 514-2454
-97.758364,26.211609,"HARLINGEN, TX",23994 Stuart Place Rd,Harlingen,TX,78552,(956) 807-1133
-97.679922,26.198574,HARLNGN-N 77 SSS,602 N Sunshine Strip,Harlingen,TX,78550-8846,(956) 421-2207
-97.72039,26.181292,DIXIELAND/LINCOL,2305 W Lincoln,Harlingen,TX,78550,(956) 412-9292
-97.6729,26.171918,"HARLNGN,77&EDCAR",2020 S Sunshine Strip,Harlingen,TX,78550,(956) 428-7997
-97.636999,26.146543,SUNSHINE S,1144 Business Hwy 77,San Benito,TX,78586,(956) 399-6845
-97.822997,26.16476,LA FERIA,204 E Expressway 83,La Feria,TX,78559,(956) 797-1461
-97.768295,26.482453,RAYMONDVILLE,1105 E Hwy 186,Raymondville,TX,78580-2741,(956) 689-5546
-97.91371,26.15302,MERCEDES,216 N Texas Ave,Mercedes,TX,78570,(956) 294-1218
-82.007088,26.562235,CHIQUITA C,1604 W Cape Coral Pky,Cape Coral,FL,33914,(239) 945-7377
-81.943861,26.494559,SUMMERLIN,18500 Summerlin Rd,Fort Myers,FL,33908,(239) 245-8996
-81.949204,26.562311,CAPE CORAL,1222 Cape Coral Pky,Cape Coral,FL,33904,(239) 549-2556
-82.036307,26.638105,PINE ISLAN,2925 Sw Pine Island Rd,Cape Coral,FL,33991,(239) 282-9617
-81.974799,26.60732,CAPE CORAL,2404 Santa Barbara Blvd,Cape Coral,FL,33914,(239) 573-0800
-81.903654,26.556032,COLLEGE PA,8961 College Pky,Fort Myers,FL,33919,(239) 482-2930
-81.804982,26.327504,BONITA SPR,28215 Tamiami Trl,Bonita Springs,FL,34134,(239) 947-3300
-81.870596,26.525556,SIX MILE A,14985 S Tamiami Trl,Fort Myers,FL,33912,(239) 437-4668
-81.802252,26.273293,NAPLES PK,11141 N Tamiami Trail,Naples,FL,34110,(239) 597-3489
-81.595329,26.286203,ORANGETREE,13811 Immokalee Rd,Naples,FL,34120,(305) 509-5793
-81.691117,26.272589,PEBBLEBROO,15291 Collier Blvd,Naples,FL,34119,(239) 304-1530
-81.746458,26.273677,THE STRAND,5616 Tavilla Circle,Naples,FL,34110,(239) 593-6055
-81.687666,26.190825,GOLDEN GAT,12055 Collier Blvd,Naples,FL,34116,(239) 455-4544
-81.752986,26.332049,BONITA SPR,27996 Oakland Dr,Bonita Springs,FL,34135,(239) 498-8838
-81.730039,26.212114,PN RDG OIL,6065 Pine Ridge Rd,Naples,FL,34119,(239) 352-2009
-81.688179,26.155437,DAVIS BLVD.,8875 Davis Blvd,Naples,FL,34104,(239) 455-7745
-81.769094,26.213836,RIDGEPORT,5465 N Airport Rd,Naples,FL,34109,(239) 566-2004
-81.433256,26.4254,SR 29   IM,420 N 15th St,Immokalee,FL,34142,(239) 657-5255
-81.770409,26.437543,I 75 CORKS,20310 Grand Oaks Shoppes Blvd,Estero,FL,33928,(239) 947-6511
-81.800778,26.197894,NAPLES NORTH,4245 N Tamiami Trl,Naples,FL,34103-3104,(239) 262-2243
-81.81139,26.414223,41 AND VIA,22770 Via Villagio,Estero,FL,33928,(239) 676-7018
-81.771608,26.130056,NAPLES EAS,2886 E Tamiami Trl,Naples,FL,34112,(239) 774-3931
-81.784863,26.485232,ESTERO  AL,17800 Ben Hill Griffin Pky,Fort Myers,FL,33913,(239) 337-9425
-81.800053,26.493702,ALICO & 3 OAKS,16940 Vintage Commerce Blvd,Fort Myers,FL,33912,(239) 321-5107
-81.837313,26.477951,SAN CARLOS,7105 Constitution Blvd,Fort Myers,FL,33912,(239) 267-7070
-81.800684,26.546508,I-75/DANIELS,13600 Indian Paint Ln,Fort Myers,FL,33912,(239) 768-1030
-81.650474,26.60687,LEHIGH,1245 Home Stead Road North,Lehigh Acres,FL,33936,(239) 369-4393
-81.769534,26.618207,LEE BLVD,11041 Colonial Blvd,Fort Myers,FL,33913,(239) 561-0170
-81.872698,26.563788,S  CLEVELA,12290 S Clevelnd Ave,Fort Myers,FL,33907,(239) 936-5494
-81.810504,26.610173,"FT.MYERS, SIX-MI",8177 Dani Dr,Fort Myers,FL,33966,(239) 931-0277
-81.852427,26.598123,METRO,2955 Colonial Blvd,Fort Myers,FL,33912,(239) 936-0400
-81.884479,26.596301,COLONIAL S,1530 Colonial Blvd,Fort Myers,FL,33919,(239) 936-1424
-81.871417,26.609511,CLEVELAND AVE,3645 Cleveland Ave,Fort Myers,FL,33901,(239) 208-2818
-81.826873,26.667869,PALM BEACH,4280 Palm Beach Blvd,Fort Myers,FL,33905,(239) 226-1351
-81.719872,26.709507,RIVERDL,14551 Fl-80,Fort Myers,FL,33905,(239) 694-0949
-81.940442,26.619438,DEL PRADO,1715 Del Prado Blvd,Cape Coral,FL,33904,(239) 574-7574
-81.888238,26.664521,FT MYERS-N.CLEVE,13741 N Cleveland Ave,Fort Myers,FL,33903,(239) 997-1367
-80.66998,26.675723,BELLE GLADE,833 S Main St,Belle Glade,FL,33430,(561) 996-7122
-80.20149,26.309157,REGENCY LAKES,6440 N State Rd 7,Coconut Creek,FL,33073,(954) 429-3766
-80.201248,26.284873,WILES ROAD & 441,4480 N Sr 7,Coconut Creek,FL,33073,(954) 933-9525
-80.182739,26.273285,COCONUT CREEK,4200 W Sample Rd,Coconut Creek,FL,33073,(954) 968-3310
-80.202161,26.332738,SANDALFOOT,23073 Sandalfoot Plaza Dr,Boca Raton,FL,33428,(561) 483-9676
-80.229268,26.272624,CORAL SPRGS,7751 W Sample Rd,Coral Springs,FL,33065,(954) 752-6710
-80.156924,26.318256,HILLS & POWERLN,3901 W Hillsboro Blvd,Deerfield Beach,FL,33442,(954) 426-5502
-80.247597,26.286438,WILES/UNIV.,9180 Wiles Rd,Coral Springs,FL,33076,(954) 341-4349
-80.132654,26.301598,MILITARY & 10TH,1205 S Military Tr,Deerfield Beach,FL,33442,(954) 421-1474
-80.155579,26.349593,PALMETTO/POWER,7030 Palmetto Park Rd,Boca Raton,FL,33433,(561) 392-6768
-80.164269,26.244735,ATLANTIC EXTENSI,1490 Nw 31 Ave,Pompano Beach,FL,33069,(954) 975-0072
-80.199271,26.235801,MARGATE,5367 W Atlantic Blvd,Margate,FL,33063,(954) 972-6530
-80.132356,26.274442,SAMPLE RD,630 W Sample Rd,Pompano Beach,FL,33064,(954) 943-3055
-80.278294,26.29957,SAWGRASS/CORAL,5741 Coral Ridge Dr,Coral Springs,FL,33065,(954) 575-0048
-80.202644,26.370154,MISSION BAY,20594 State Rd 7,Boca Raton,FL,33498,(561) 482-6110
-80.225576,26.227825,SOUTHGATE,7520 Southgate Blvd,North Lauderdale,FL,33068,(954) 726-3777
-80.127606,26.260086,COPANS RD. & I -,320 Nw 24th Street,Pompano Beach,FL,33060,(954) 784-0440
-80.28194,26.27343,SAMPLE/CRL RDG,11655 W Sample Rd,Coral Springs,FL,33065,(954) 346-0710
-80.25548,26.238756,NTIC/UNIV.,630 University Dr,Coral Springs,FL,33071,(954) 344-2622
-80.157156,26.230478,PALM AIRE,1 Sw 26th Avenue,Pompano Beach,FL,33069,(954) 971-7626
-80.108209,26.318057,DEERFLD BCH-3RD,300 W Hillsboro Blvd,Deerfield Beach,FL,33441-0978,(954) 481-9426
-80.221505,26.207843,MCNAB & ROCK ISL,7200 W Mcnab Road,North Lauderdale,FL,33068,(954) 726-6340
-80.094718,26.290898,LGHTHOUSE PT-US1,4830 N Federal Hwy,Lighthouse Point,FL,33064,(954) 427-8141
-80.122182,26.364495,"BOCA RATON, BOCA",1776 N Military Trail,Boca Raton,FL,33486,(561) 391-5185
-80.27021,26.227867,PINE ISL,8375 Pine Island Rd,Tamarac,FL,33321,(954) 722-6710
-80.098918,26.268923,NORTH POMPANO,3091 N Federal Hwy,Pompano Beach,FL,33064,(954) 943-8410
-80.156757,26.203597,CYPRESS-POWERLIN,929 Nw 62nd St,Fort Lauderdale,FL,33309,(954) 491-6363
-80.103647,26.232016,A & F,2025 E Atlantic Blvd,Pompano Beach,FL,33060,(954) 781-1920
-80.25267,26.194323,TAMARAC,7600 Nw 57th Street,Tamarac,FL,33321,(954) 722-1120
-80.156033,26.188047,EXECUTIVE,950 W Commercial Blvd,Fort Lauderdale,FL,33309,(954) 928-0910
-80.145762,26.40853,CLINT MOORE/JOG,2911 Clintmoore Rd,Boca Raton,FL,33496,(561) 994-3602
-80.203091,26.179883,LAUDERDALE LAKES,4398 North State Road 7,Lauderdale Lakes,FL,33309,(954) 739-8040
-80.107533,26.206575,BAY COLONY,6360 North Federal Hwy,Fort Lauderdale,FL,33308,(954) 771-2230
-80.273378,26.193209,COMM'L & 94TH AV,9220 W Commercial Blvd,Sunrise,FL,33351-4300,(954) 578-1180
-80.103128,26.393288,"BOCA RATON, YAMA",710 Yamato Road,Boca Raton,FL,33431,(561) 549-0174
-80.128907,26.188694,CMRCL,1352 E Commercial,Fort Lauderdale,FL,33334,(347) 768-6450
-80.077051,26.368989,5TH AVENUE,2140 N Federal Hwy,Boca Raton,FL,33431,(561) 392-7776
-80.185445,26.165777,OAKLD FOREST,3073 West Oakland Park Boulevard,Oakland Park,FL,33311,(954) 733-6839
-80.268358,26.177102,PINE ISLAND,4301 Pine Island Road,Sunrise,FL,33351-6045,(954) 572-1911
-80.224519,26.164376,OAKLAND & 55TH,5510 W Oakland Park Blvd,Lauderhill,FL,33313,(954) 777-3445
-80.148806,26.166799,OAKLAND PARK,265 W Oakland Park Blvd,Oakland Park,FL,33311,(954) 565-8881
-80.098677,26.177289,GALT OCEAN MILE,4032 N Ocean Blvd,Fort Lauderdale,FL,33308,(954) 563-6255
-80.256624,26.152414,SUNRISE-UNIVRSTY,2260 N University Dr,Sunrise,FL,33322,(954) 742-8280
-80.295706,26.169387,OAKLAND & HIATUS,10901 W Oakland Park Blvd,Sunrise,FL,33351,(954) 747-7155
-80.115819,26.16126,CORAL RIDGE-FDRL,2700 N Federal Hwy,Fort Lauderdale,FL,33306,(954) 564-2910
-80.160314,26.454144,ATLANTIC A,7229 Atlantic Avenue,Delray Beach,FL,33446,(954) 803-3646
-80.202142,26.139536,LAUDERHIL-40TH A,1140 40th Ave,Lauderhill,FL,33313,(954) 583-5226
-80.283625,26.153254,SUNRISE UNVSTY,10013 Sunset Strip,Sunrise,FL,33322,(954) 748-6706
-80.173807,26.136185,I-95&SUNRISE,2300 W Sunrise Blvd,Fort Lauderdale,FL,33311,(954) 316-0007
-80.140981,26.136633,EAST SUNRISE REL,300 E Sunrise Blvd,Fort Lauderdale,FL,33304,(954) 763-5543
-80.085477,26.439176,LINTON,1220 Linton Blvd,Delray Beach,FL,33445,(561) 279-0498
-80.123182,26.459394,DELRAY,14529 Military Trl,Delray Beach,FL,33445,(561) 495-6583
-80.17442,26.121153,BROWARD & 27,2410 W Broward Blvd,Fort Lauderdale,FL,33312,(954) 583-2631
-80.144285,26.122705,BROWARD BLVD,27 W Broward Blvd,Fort Lauderdale,FL,33301,(954) 463-7393
-80.331458,26.146375,SAWGRASS,13655 W Sunrise Blvd,Sunrise,FL,33323,(954) 846-8634
-80.178156,26.106043,DAVIE & RIVERLAN,2700 Davie Blvd,Fort Lauderdale,FL,33312,(954) 791-2830
-80.200787,26.100238,STATE-LAUDERDALE,1600 S State Hwy Seven,Fort Lauderdale,FL,33317,(954) 587-2182
-80.250569,26.103006,PLANTATION II,1351 S University Dr,Plantation,FL,33324,(954) 475-0289
